Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,64.91999816894531,62.08000183105469,64.70999908447266,63.779998779296875,4816800.0,61.45717239379883
2017-01-04,64.20999908447266,63.08000183105469,63.869998931884766,63.59000015258789,2620100.0,61.27409744262695
2017-01-05,64.11000061035156,62.810001373291016,63.79999923706055,63.25,2531900.0,60.946475982666016
2017-01-06,63.75,62.560001373291016,63.52000045776367,63.119998931884766,2936700.0,60.82121276855469
2017-01-09,62.900001525878906,62.11000061035156,62.72999954223633,62.36000061035156,2331000.0,60.088890075683594
2017-01-10,63.09000015258789,62.29999923706055,62.630001068115234,62.869998931884766,2382200.0,60.58031463623047
2017-01-11,63.81999969482422,62.16999816894531,63.130001068115234,63.77000045776367,2270500.0,61.447540283203125
2017-01-12,64.12999725341797,62.65999984741211,64.12999725341797,63.02000045776367,2824600.0,60.724857330322266
2017-01-13,63.25,62.36000061035156,62.720001220703125,62.779998779296875,1316800.0,60.49359130859375
2017-01-17,63.91999816894531,62.25,63.15999984741211,63.099998474121094,3535900.0,60.80194091796875
2017-01-18,63.36000061035156,62.15999984741211,62.31999969482422,62.90999984741211,2559600.0,60.859981536865234
2017-01-19,63.0,61.869998931884766,62.83000183105469,62.220001220703125,2218700.0,60.19247055053711
2017-01-20,63.18000030517578,61.58000183105469,63.0,61.810001373291016,2780200.0,59.79582977294922
2017-01-23,61.97999954223633,60.65999984741211,61.54999923706055,60.77000045776367,2599600.0,58.78972244262695
2017-01-24,61.560001373291016,60.5,61.27000045776367,60.959999084472656,4072800.0,58.97352600097656
2017-01-25,61.93000030517578,60.849998474121094,61.02000045776367,61.43000030517578,3907600.0,59.42821502685547
2017-01-26,62.75,61.47999954223633,61.810001373291016,62.54999923706055,3714100.0,60.511714935302734
2017-01-27,62.4900016784668,61.290000915527344,62.220001220703125,62.08000183105469,3282800.0,60.057037353515625
2017-01-30,61.779998779296875,59.54999923706055,61.5099983215332,59.95000076293945,3332800.0,57.99644088745117
2017-01-31,60.29999923706055,59.099998474121094,60.09000015258789,59.81999969482422,4648900.0,57.87068176269531
2017-02-01,60.65999984741211,57.369998931884766,60.33000183105469,57.779998779296875,5847600.0,55.89715576171875
2017-02-02,59.290000915527344,57.45000076293945,58.02000045776367,59.09000015258789,3098300.0,57.16446304321289
2017-02-03,59.970001220703125,58.560001373291016,58.560001373291016,59.63999938964844,2843100.0,57.69654083251953
2017-02-06,59.91999816894531,57.810001373291016,59.63999938964844,57.869998931884766,2671600.0,55.98421859741211
2017-02-07,57.59000015258789,55.75,57.59000015258789,57.029998779296875,4686800.0,55.17158889770508
2017-02-08,57.900001525878906,55.810001373291016,56.36000061035156,56.93000030517578,3084600.0,55.074859619140625
2017-02-09,57.720001220703125,56.77000045776367,57.4900016784668,56.91999816894531,2624400.0,55.06517791748047
2017-02-10,57.709999084472656,56.91999816894531,57.439998626708984,57.380001068115234,2710000.0,55.510189056396484
2017-02-13,57.880001068115234,56.7599983215332,57.27000045776367,57.18000030517578,1875300.0,55.316707611083984
2017-02-14,56.66999816894531,54.529998779296875,56.459999084472656,55.5,7432500.0,53.69145202636719
2017-02-15,56.22999954223633,54.72999954223633,55.08000183105469,55.59000015258789,4981700.0,53.77851486206055
2017-02-16,55.97999954223633,54.959999084472656,55.77000045776367,55.25,2798400.0,53.44960021972656
2017-02-17,55.4900016784668,54.68000030517578,55.0,55.439998626708984,2524400.0,53.633399963378906
2017-02-21,56.5099983215332,55.75,56.060001373291016,55.88999938964844,3240900.0,54.06874084472656
2017-02-22,56.11000061035156,54.7400016784668,55.33000183105469,54.90999984741211,4380600.0,53.12067794799805
2017-02-23,55.22999954223633,51.279998779296875,54.349998474121094,52.97999954223633,11695900.0,51.253570556640625
2017-02-24,54.22999954223633,52.5099983215332,52.619998931884766,53.40999984741211,5686300.0,51.669559478759766
2017-02-27,53.58000183105469,52.5099983215332,53.41999816894531,52.93000030517578,5041300.0,51.2052001953125
2017-02-28,52.880001068115234,52.09000015258789,52.779998779296875,52.59000015258789,3662800.0,50.876277923583984
2017-03-01,53.45000076293945,52.72999954223633,53.040000915527344,52.95000076293945,4470500.0,51.22454833984375
2017-03-02,52.25,51.41999816894531,51.959999084472656,51.91999816894531,4266600.0,50.228111267089844
2017-03-03,52.27000045776367,51.810001373291016,52.02000045776367,52.09000015258789,2856900.0,50.39257049560547
2017-03-06,52.4900016784668,51.880001068115234,52.06999969482422,52.189998626708984,2125400.0,50.489315032958984
2017-03-07,52.459999084472656,51.20000076293945,52.369998931884766,51.279998779296875,3375300.0,49.60896682739258
2017-03-08,51.349998474121094,49.279998779296875,51.04999923706055,49.40999984741211,5307200.0,47.79990005493164
2017-03-09,50.7400016784668,49.04999923706055,49.25,50.630001068115234,7189600.0,48.98014831542969
2017-03-10,50.9900016784668,49.790000915527344,50.90999984741211,50.22999954223633,6192500.0,48.59318161010742
2017-03-13,50.779998779296875,50.0,50.220001220703125,50.15999984741211,4053600.0,48.52545928955078
2017-03-14,50.540000915527344,49.279998779296875,49.630001068115234,50.33000183105469,4172400.0,48.68992614746094
2017-03-15,51.279998779296875,50.150001525878906,50.75,51.06999969482422,3262600.0,49.40580749511719
2017-03-16,51.63999938964844,50.540000915527344,51.130001068115234,51.08000183105469,3603200.0,49.41548156738281
2017-03-17,52.15999984741211,51.18000030517578,51.22999954223633,51.220001220703125,5229400.0,49.55091857910156
2017-03-20,51.06999969482422,50.2400016784668,50.900001525878906,50.93000030517578,2666800.0,49.27037048339844
2017-03-21,51.38999938964844,50.209999084472656,51.20000076293945,50.29999923706055,2830200.0,48.6609001159668
2017-03-22,50.83000183105469,49.9900016784668,49.9900016784668,50.540000915527344,2958400.0,48.89308166503906
2017-03-23,50.4900016784668,50.060001373291016,50.25,50.09000015258789,3489000.0,48.45774459838867
2017-03-24,50.61000061035156,49.90999984741211,50.290000915527344,50.2400016784668,2650600.0,48.60285568237305
2017-03-27,50.099998474121094,49.27000045776367,49.619998931884766,49.720001220703125,2901900.0,48.09980010986328
2017-03-28,51.33000183105469,49.779998779296875,49.880001068115234,51.220001220703125,3061400.0,49.55091857910156
2017-03-29,53.43000030517578,51.04999923706055,51.150001525878906,53.18000030517578,4572300.0,51.44704818725586
2017-03-30,54.060001373291016,52.06999969482422,53.97999954223633,52.09000015258789,4638100.0,50.39257049560547
2017-03-31,52.2400016784668,50.599998474121094,52.08000183105469,51.38999938964844,5740200.0,49.71537780761719
2017-04-03,51.779998779296875,50.65999984741211,51.41999816894531,51.040000915527344,2879200.0,49.376792907714844
2017-04-04,51.93000030517578,50.75,51.15999984741211,51.88999938964844,2330500.0,50.199092864990234
2017-04-05,52.86000061035156,51.560001373291016,52.380001068115234,51.70000076293945,3856700.0,50.01527786254883
2017-04-06,53.279998779296875,51.83000183105469,52.0,52.959999084472656,3153100.0,51.23421859741211
2017-04-07,53.11000061035156,52.20000076293945,52.529998779296875,52.63999938964844,4992000.0,50.924644470214844
2017-04-10,54.33000183105469,52.81999969482422,53.029998779296875,53.9900016784668,3536600.0,52.23065948486328
2017-04-11,53.970001220703125,52.720001220703125,53.88999938964844,53.869998931884766,2880200.0,52.11456298828125
2017-04-12,54.63999938964844,53.5099983215332,53.84000015258789,53.810001373291016,4391100.0,52.056522369384766
2017-04-13,54.290000915527344,52.209999084472656,53.619998931884766,52.369998931884766,4445400.0,50.663448333740234
2017-04-17,52.970001220703125,52.08000183105469,52.349998474121094,52.5,3099500.0,50.789215087890625
2017-04-18,52.56999969482422,50.400001525878906,51.9900016784668,50.45000076293945,4847400.0,48.806007385253906
2017-04-19,50.650001525878906,49.0099983215332,50.33000183105469,49.189998626708984,4945800.0,47.824058532714844
2017-04-20,49.83000183105469,49.0099983215332,49.38999938964844,49.02000045776367,3381300.0,47.65877914428711
2017-04-21,49.58000183105469,48.790000915527344,49.0,49.02000045776367,3030200.0,47.65877914428711
2017-04-24,49.5,48.36000061035156,49.41999816894531,48.7400016784668,3850600.0,47.38655471801758
2017-04-25,50.29999923706055,48.380001068115234,48.72999954223633,50.25,3137400.0,48.8546257019043
2017-04-26,51.0,49.66999816894531,49.869998931884766,50.0099983215332,2794200.0,48.62128829956055
2017-04-27,49.540000915527344,48.2400016784668,49.470001220703125,48.31999969482422,5218800.0,46.978214263916016
2017-04-28,48.88999938964844,48.279998779296875,48.7400016784668,48.63999938964844,2973500.0,47.289329528808594
2017-05-01,49.130001068115234,48.36000061035156,48.560001373291016,48.790000915527344,2916000.0,47.4351692199707
2017-05-02,49.220001220703125,48.099998474121094,48.91999816894531,48.470001220703125,3304000.0,47.124053955078125
2017-05-03,49.310001373291016,48.25,48.310001373291016,48.79999923706055,4593500.0,47.44488525390625
2017-05-04,48.97999954223633,46.09000015258789,48.650001525878906,47.900001525878906,7881200.0,46.569881439208984
2017-05-05,49.45000076293945,47.939998626708984,48.0,49.290000915527344,4237600.0,47.92128372192383
2017-05-08,50.400001525878906,49.0099983215332,49.15999984741211,50.25,3308900.0,48.8546257019043
2017-05-09,50.59000015258789,49.61000061035156,50.209999084472656,50.45000076293945,3467900.0,49.049068450927734
2017-05-10,52.209999084472656,50.75,50.75,51.209999084472656,3560700.0,49.7879638671875
2017-05-11,51.779998779296875,50.90999984741211,51.36000061035156,51.06999969482422,1851200.0,49.651851654052734
2017-05-12,51.58000183105469,50.75,51.119998931884766,51.45000076293945,2650400.0,50.02130126953125
2017-05-15,52.66999816894531,50.58000183105469,52.47999954223633,50.970001220703125,2923000.0,49.554630279541016
2017-05-16,51.47999954223633,50.31999969482422,51.27000045776367,50.970001220703125,3403400.0,49.554630279541016
2017-05-17,51.279998779296875,50.099998474121094,50.970001220703125,50.189998626708984,2711800.0,48.79629135131836
2017-05-18,50.61000061035156,49.34000015258789,50.0,49.91999816894531,3573100.0,48.533782958984375
2017-05-19,51.189998626708984,50.029998779296875,50.25,51.15999984741211,2898700.0,49.73935317993164
2017-05-22,51.45000076293945,50.0,51.40999984741211,50.02000045776367,3519500.0,48.631011962890625
2017-05-23,50.2400016784668,49.529998779296875,50.040000915527344,50.0,3001600.0,48.611568450927734
2017-05-24,50.54999923706055,49.61000061035156,49.77000045776367,49.869998931884766,2900800.0,48.485172271728516
2017-05-25,50.560001373291016,47.65999984741211,49.779998779296875,47.709999084472656,3645500.0,46.385154724121094
2017-05-26,48.2599983215332,47.33000183105469,47.880001068115234,48.189998626708984,2896400.0,46.85182571411133
2017-05-30,48.13999938964844,47.25,47.84000015258789,47.560001373291016,3783400.0,46.23931884765625
2017-05-31,47.31999969482422,46.470001220703125,47.02000045776367,46.7599983215332,4216300.0,45.4615364074707
2017-06-01,47.61000061035156,46.54999923706055,46.849998474121094,47.29999923706055,2816200.0,45.986541748046875
2017-06-02,47.220001220703125,46.130001068115234,46.75,46.9900016784668,4254700.0,45.685150146484375
2017-06-05,47.130001068115234,46.439998626708984,46.72999954223633,46.72999954223633,3795900.0,45.432373046875
2017-06-06,48.060001373291016,46.43000030517578,46.560001373291016,48.040000915527344,3000400.0,46.70599365234375
2017-06-07,48.08000183105469,45.95000076293945,47.650001525878906,46.779998779296875,7075100.0,45.480979919433594
2017-06-08,47.5,46.31999969482422,46.779998779296875,47.0,4612300.0,45.69487380981445
2017-06-09,48.599998474121094,47.220001220703125,47.2400016784668,48.34000015258789,3818200.0,46.99766159057617
2017-06-12,49.2599983215332,48.41999816894531,48.81999969482422,48.41999816894531,3055200.0,47.075435638427734
2017-06-13,49.310001373291016,48.310001373291016,48.40999984741211,49.220001220703125,2243400.0,47.85322952270508
